Farm_uni_ID,N_GPS,E_GPS,Breed,NoData,PA1,PA2,PA3,Commercial,Kadaknath
Farm_AEC-01,22.58761,70.9149,C,0,10,0,0,10,0
Farm_AEC-02,21.5739,70.43068,C,5,0,5,0,10,0
Farm_AEC-03,22.41484,72.78652,C,1,9,0,0,10,0
Farm_AEC-04,22.65494,72.72406,C,9,1,0,0,10,0
Farm_AEC-05,22.51318,72.83243,C,0,8,2,0,10,0
Farm_AEC-06,22.16641,72.73664,C,0,0,10,0,10,0
Farm_AEC-07,22.21908,73.06281,C,4,1,3,0,10,0
Farm_AEC-08,22.39684,72.8534,C,0,7,3,0,10,0
Farm_AEC-09,23.6995,72.93678,C,0,0,10,0,10,0
Farm_AEC-10,23.71034,72.92004,C,1,0,9,0,10,0
Farm_AEC-11,22.88164,74.35999,C,1,6,3,0,10,0
Farm_AEC-12,23.99798,72.30842,C,0,1,9,0,10,0
Farm_AEC-13,21.96496,73.03529,C,2,2,6,0,10,0
Farm_AEC-14,20.739,73.056,C,8,1,1,0,10,0
Farm_AEC-15,22.98041,72.72283,C,0,6,4,0,10,0
Farm_AECK-01,21.62234,70.457,CK,1,6,3,0,5,5
Farm_AECK-02,21.62149,70.45735,CK,0,10,0,0,5,5
Farm_AECK-03,21.47049,70.84709,CK,0,6,4,0,5,5
Farm_AECK-04,22.41628,72.78767,CK,0,9,1,0,5,5
Farm_AECK-05,22.49457,72.65744,CK,0,9,1,0,5,5
Farm_AECK-06,22.49812,72.52444,CK,0,5,5,0,5,5
Farm_AECK-07,22.62874,70.94519,CK,2,4,4,0,5,5
Farm_AECK-08,22.7913,74.02202,CK,6,1,0,3,5,5
Farm_AECK-09,22.78281,74.02314,CK,3,0,0,7,5,5
Farm_AECK-10,22.79874,73.97451,CK,3,1,0,5,5,5
Farm_AECK-11,22.81321,74.23134,CK,0,9,0,1,5,5
Farm_AECK-12,22.69937,74.35008,CK,0,5,5,0,5,5
Farm_AECK-13,22.87804,74.42524,CK,0,2,8,0,5,5
Farm_AECK-14,22.88869,74.05541,CK,0,10,0,0,5,5
Farm_AECK-15,23.09804,74.18485,CK,0,10,0,0,5,5
Farm_AECK-16,22.82712,74.04028,CK,0,10,0,0,5,5
Farm_AECK-17,22.41685,73.53701,CK,1,0,0,9,5,5
Farm_AECK-18,22.76298,74.18257,CK,1,9,0,0,5,5
Farm_AECK-19,22.8152,73.91969,CK,8,0,0,2,5,5
Farm_AECK-20,22.8514,73.9565,CK,0,0,0,10,5,5
Farm_AECK-21,22.666,73.968,CK,1,0,0,9,5,5
Farm_AECK-22,23.08469,74.15643,CK,0,7,2,0,5,5
Farm_AECK-23,20.56425,72.96265,CK,2,0,8,0,5,5
Farm_AECK-24,20.5432,72.94346,CK,1,9,0,0,5,5
Farm_AECK-25,21.65326,72.98846,CK,5,5,0,0,5,5
Farm_AECK-26,21.58287,73.03807,CK,2,8,0,0,5,5
Farm_AECK-27,24.32656,72.31648,CK,1,9,0,0,5,5
Farm_AECK-28,24.12053,72.5008,CK,0,7,3,0,5,5
Farm_AECK-29,24.13463,72.13912,CK,0,0,0,10,5,5
Farm_AECK-30,24.22447,72.43576,CK,8,1,0,1,5,5
Farm_AEK-01,22.83149,74.57543,K,1,0,0,9,0,10
Farm_AEK-02,22.78554,74.46323,K,6,0,3,1,0,10
Farm_AEK-03,22.99716,74.18498,K,2,1,7,0,0,10
Farm_AEK-04,22.41484,72.78652,K,1,4,4,0,0,10
Farm_AEK-05,21.5739,70.43068,K,0,4,6,0,0,10
Farm_AEK-06,22.74643,74.13879,K,6,0,4,0,0,10
Farm_AEK-07,22.87424,74.02998,K,4,5,1,0,0,10
Farm_AEK-08,22.7726,74.18648,K,0,4,6,0,0,10
Farm_AEK-09,22.8519,74.23802,K,0,9,1,0,0,10
Farm_AEK-10,22.8217,74.2338,K,0,9,1,0,0,10
Farm_AEK-11,23.02674,74.18446,K,0,10,0,0,0,10
Farm_AEK-12,22.71207,73.55044,K,0,10,0,0,0,10
Farm_AEK-13,22.75089,73.60692,K,0,10,0,0,0,10
Farm_AEK-14,22.75062,73.60161,K,0,10,0,0,0,10
Farm_AEK-15,22.82274,73.55486,K,0,10,0,0,0,10
