,index,Farm_ID,Farm_uni_ID,Flowcell,Routine_vaccine,culled,w_des,Household_waste,Antibiotic_admin,Supplement,Isolation,npeopl_contact,workers_exp_oa,visitors_inside,other_pa,Type_farm,Unit_traffic,ventilation,water_supply,feed_stored,dogs,Breed_strain,Ruminants,OtherBirds,N_breed,campy,shi,gall,Farm_ID_check,Date,Farm.GPS,N_GPS,E_GPS,Geog_cluster,GWAS,Observed,Chao1,se.chao1,Shannon,InvSimpson,PA2
AEC5CM1,AEC05CM1,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,493,11,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,97,729,874.8050847,28.00170906,4.816942725,22.34771925,PA1
AEC5CM10,AEC05CM10,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,147,37,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,98,735,842.3333333,22.1483183,5.300351807,65.73309994,PA2
AEC5CM2,AEC05CM2,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,0,9,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,99,652,725.1294118,18.1114333,5.194911827,49.60293766,PA1
AEC5CM4,AEC05CM4,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,0,0,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,101,428,461.1764706,12.5807871,4.945088848,57.98757104,PA1
AEC5CM5,AEC05CM5,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,45,0,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,102,803,916.7889908,23.69327269,5.513977351,102.3921528,PA1
AEC5CM7,AEC05CM7,AEC-05,Farm_AEC-05,AKBH2,yes,Normal,yes,no,yes,no,yes,2,yes,no,yes,open,no,Natural,Automatic,Within premises,no,Commercial broiler,yes,no,C,0,11,0,AEC-05,04-Dec-15,"22.51318N, 72.83243E",22.51318N,72.83243,C8,104,670,760.0625,20.52672842,5.310226063,72.14239399,PA1
AEC7CM6,AEC07CM6,AEC-07,Farm_AEC-07,AKBH2,yes,Normal,yes,no,yes,no,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Commercial broiler,yes,yes,C,0,11,0,AEC-07,05-Dec-15,"22.21908N, 73.06281E",22.21908N,73.06281,C7,121,572,648.7407407,18.9939471,4.481307534,12.46526191,PA1
AECK11CM5,AECK11CM5,AECK-11-K,Farm_AECK-11,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,7,50,0,AECK-11(K),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,159,764,932.3846154,31.32799824,5.226927385,60.15257658,PA1
AECK11CM6,AECK11CM6,AECK-11-C,Farm_AECK-11,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,9,168,0,AECK-11(C),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,160,768,998.2121212,41.89735761,5.222738698,64.7520866,PA1
AECK11CM8,AECK11CM8,AECK-11-C,Farm_AECK-11,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,9,20,0,AECK-11(C),03-Feb-16,"22.81321N, 74.23134E",22.81321N,74.23134,C10,162,542,681.4660194,28.05076354,3.821771557,11.52400021,PA1
AECK12CM2,AECK12CM2,AECK-12-K,Farm_AECK-12,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,yes,CK,6,23,0,AECK-12(K),03-Feb-16,"22.69937N, 74.35008E",22.69937N,74.35008,C10,166,530,687.3255814,32.33373945,3.81202598,12.02079725,PA1
AECK13CM3,AECK13CM3,AECK-13-K,Farm_AECK-13,AKBH2,no,high,no,yes,no,no,no,1,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,CK,37,533,52,AECK-13(K),04-Feb-16,"22.87804N, 74.42524E",22.87804N,74.42524,C10,177,434,462.6515152,9.733087504,4.68181356,46.91392461,PA2
AECK1CM9,AECK01CM9,AECK-01-C,Farm_AECK-01,AKBH2,yes,high,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,136,270,85,AECK-1(C),09-Jan-16,"21.62234N, 70.45700E",21.62234N,70.457,C2,253,917,1174.553191,41.36470441,5.423983226,78.93675434,PA1
AECK20CM7,AECK20CM7,AECK-20-C,Farm_AECK-20,AKBH2,no,high,no,yes,no,no,no,3,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Commercial broiler,yes,yes,CK,6,0,0,AECK-20(C),23-Feb-16,"22.85140N, 73.95650E",22.85140N,73.9565,C10,261,582,685.9655172,23.43986542,4.800548124,44.19625278,PA3
AECK21CM1,AECK21CM1,AECK-21-K,Farm_AECK-21,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,0,34,0,AECK-21(K),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,264,481,604.3088235,28.54984578,4.35715065,31.65505962,PA3
AECK21CM5,AECK21CM5,AECK-21-K,Farm_AECK-21,AKBH2,no,high,no,yes,no,no,no,5,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,CK,47,52,0,AECK-21(K),24-Feb-16,"22.66600N, 73.96800E",22.66600N,73.968,C10,269,551,708.9891304,31.83792058,4.344140075,22.493956,PA3
AECK2CM8,AECK02CM8,AECK-02-C,Farm_AECK-02,AKBH2,yes,high,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,131,14,0,AECK-2(C),09-Jan-16,"21.62149N, 70.45735E",21.62149N,70.45735,C2,359,629,863.2967033,43.55250152,4.60737896,32.50845098,PA1
AECK2CM9,AECK02CM9,AECK-02-C,Farm_AECK-02,AKBH2,yes,high,yes,no,yes,yes,yes,2,no,no,no,open,no,Natural,Automatic,Outside premises,yes,Commercial broiler,no,no,CK,5,290,120,AECK-2(C),09-Jan-16,"21.62149N, 70.45735E",21.62149N,70.45735,C2,360,821,1099.162162,47.08408353,5.296026766,77.78801256,PA1
AECK30CM10,AECK30CM10,AECK-30-C,Farm_AECK-30,AKBH2,no,Normal,no,yes,no,yes,no,10,yes,no,yes,Caged,no,Natural,Manual,Outside premises,yes,Commercial broiler,yes,yes,CK,0,37,0,AECK-30(C),27-Feb-16,"24.22447N, 72.43576E",24.22447N,72.43576,C3,362,422,510.3928571,23.26175655,3.80823012,12.44057638,PA3
AECK3CM2,AECK03CM2,AECK-03-K,Farm_AECK-03,AKBH2,yes,high,yes,no,yes,yes,yes,3,no,no,no,open,no,Natural,Automatic,Within premises,yes,Kadaknath,no,no,CK,85,414,35,AECK-3(K),24-Jan-16,"21.47049N, 70.84709E",21.47049N,70.84709,C2,373,651,921.4787234,48.38462276,4.876662842,51.06619801,PA2
AECK4CM3,AECK04CM3,AECK-04-K,Farm_AECK-04,AKBH2,yes,Normal,yes,no,yes,yes,yes,4,no,no,yes,open,no,Natural,Automatic,Outside premises,yes,Kadaknath,yes,no,CK,0,25,0,AECK-4(K),23-Jan-16,"22.41628N, 72.78767E",22.41628N,72.78767,C8,384,502,602.6493506,23.60687206,4.137630324,17.35080913,PA1
AEK10CM3,AEK10CM3,AEK-10,Farm_AEK-10,AKBH2,no,high,no,yes,yes,no,no,7,yes,no,no,Enclosed,yes,Natural,Manual,Within premises,no,Kadaknath,no,no,K,6,28,0,AEK-10,23-Feb-16,"22.82170N, 74.23380E",22.82170N,74.2338,C10,442,396,472.6842105,20.75960066,4.216336009,20.59374999,PA1
AEK10CM8,AEK10CM8,AEK-10,Farm_AEK-10,AKBH2,no,high,no,yes,yes,no,no,7,yes,no,no,Enclosed,yes,Natural,Manual,Within premises,no,Kadaknath,no,no,K,0,22,0,AEK-10,23-Feb-16,"22.82170N, 74.23380E",22.82170N,74.2338,C10,445,302,339.5,13.78929771,3.950525669,17.21996031,PA1
AEK5CM10,AEK05CM10,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,32,2,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,525,765,1031.875,45.43876743,4.591980467,21.56226193,PA1
AEK5CM3,AEK05CM3,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,0,0,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,527,569,740.2282609,33.89725227,4.154012027,18.51961953,PA1
AEK5CM4,AEK05CM4,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,321,0,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,528,651,748.1294118,22.39708221,5.152152412,55.67985497,PA1
AEK5CM5,AEK05CM5,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,774,0,2,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,529,684,866.1320755,34.19213101,4.842974212,36.54708073,PA2
AEK5CM6,AEK05CM6,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,89,0,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,530,779,986.3214286,37.24686523,5.225066392,70.3767037,PA1
AEK5CM7,AEK05CM7,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,532,0,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,531,534,673.4615385,30.24650652,4.114274893,14.59327685,PA2
AEK5CM8,AEK05CM8,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,11,10,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,532,485,644.3888889,34.35548011,3.861579437,10.06507058,PA2
AEK5CM9,AEK05CM9,AEK-05,Farm_AEK-05,AKBH2,yes,high,yes,no,yes,yes,yes,3,yes,no,yes,open,no,Natural,Automatic,Within premises,yes,Kadaknath,yes,no,K,1034,24,0,AEK-05,24-Jan-16,"21.57390N, 70.43068E",21.57390N,70.43068,C2,533,310,407.5,27.2201158,3.251360789,7.20939328,PA2
AEK6CM3,AEK06CM3,AEK-06,Farm_AEK-06,AKBH2,no,high,no,yes,no,no,no,6,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,6,8,0,AEK-06,02-Feb-16,"22.74643N, 74.13879E",22.74643N,74.13879,C10,534,576,737.9680851,32.26683581,4.423005217,24.87782103,PA2
AEK6CM8,AEK06CM8,AEK-06,Farm_AEK-06,AKBH2,no,high,no,yes,no,no,no,6,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,51,0,AEK-06,02-Feb-16,"22.74643N, 74.13879E",22.74643N,74.13879,C10,536,342,389.7884615,14.8782105,3.853354624,18.86171524,PA2
AEK7CM1,AEK07CM1,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,7,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,537,526,667,31.32193959,4.430086268,26.54416164,PA1
AEK7CM4,AEK07CM4,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,3,73,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,540,504,632.0263158,28.50486627,4.48513705,29.27478636,PA1
AEK7CM5,AEK07CM5,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,0,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,541,510,633.2238806,28.65255268,4.536440025,32.38007686,PA1
AEK7CM6,AEK07CM6,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,10,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,542,422,505.2638889,20.79980544,4.154755359,22.47706646,PA1
AEK7CM7,AEK07CM7,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,138,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,543,473,586.0172414,27.88562856,4.45895289,26.09787916,PA1
AEK7CM9,AEK07CM9,AEK-07,Farm_AEK-07,AKBH2,no,high,no,yes,no,no,no,10,yes,yes,yes,Enclosed,yes,Natural,Manual,Within premises,yes,Kadaknath,yes,yes,K,0,20,0,AEK-07,02-Feb-16,"22.87424N, 74.02998E",22.87424N,74.02998,C10,544,450,579.0151515,29.82504275,4.218082309,23.39397254,PA2
AEK8CM10,AEK08CM10,AEK-08,Farm_AEK-08,AKBH2,no,Normal,no,yes,no,no,no,2,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,K,7,10,0,AEK-08,04-Feb-16,"22.77260N, 74.18648E",22.77260N,74.18648,C10,545,624,764,28.99525866,4.808987523,30.19477356,PA1
AEK8CM4,AEK08CM4,AEK-08,Farm_AEK-08,AKBH2,no,Normal,no,yes,no,no,no,2,yes,yes,yes,Enclosed,yes,Natural,Manual,Outside premises,yes,Kadaknath,yes,no,K,243,0,0,AEK-08,04-Feb-16,"22.77260N, 74.18648E",22.77260N,74.18648,C10,546,617,727.8461538,25.3282559,4.961490946,51.93984907,PA1
