"","rab.all","rab.win.PA2.1","rab.win.PA2.2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"ASV1_Phascolarctobacterium_A.sp900545025.GB_GCA_900545025_1.",5.20075177725242,3.35719367149956,10.6985107625472,6.05148080375156,7.85341283979757,0.696114751956519,0.227200001294755,6.04933264547618e-20,2.24430241147166e-17,1.45250698611222e-20,5.38880091847633e-18
"ASV2_Helicobacter_D.pullorum.RS_GCF_008801855_1.",8.95729267723009,8.48630607463304,9.65217978903661,1.26825776951551,6.23809896699964,0.19315797845111,0.38592281583789,0.000221020032533388,0.00095444054852811,6.07820234848113e-05,0.000305237279754429
"ASV3_Faecalibacterium.sp002160895.RS_GCF_002160895_1.",11.0560182909692,11.2315957549112,10.6930257169724,-0.697715632514274,2.91222648713755,-0.164223501550483,0.384400000407094,4.59910485673786e-05,0.000278542020662096,0.000264222022168631,0.00113890663814291
"ASV4_Phocaeicola.dorei.RS_GCF_013009555_1.",9.9202209293283,9.42548233748245,10.9228831630122,1.57239715105702,3.78379895149414,0.354113179662655,0.316536693367875,1.25134109272027e-14,1.8725977887869e-12,9.93880543706037e-10,1.72947794601212e-08
"ASV5_Mediterraneibacter.sp002159505.RS_GCF_002159505_1.",10.6903334872216,10.8382572991651,10.5103017966028,-0.392320351075457,1.68002308768165,-0.215776706405345,0.403000000335978,0.000984500900690418,0.00384267969660097,0.00192454533289367,0.00632179582838282
"ASV6_Kingdom_Bacteria",10.4418529602058,10.2667141497528,10.766070085262,0.523012620189204,1.96480531976973,0.230860091339669,0.382323535708032,0.000167443648401293,0.000827838203843793,2.85934444575176e-05,0.00015759875238989
"ASV7_Genus_Campylobacter_D",4.48723169855191,3.6800040433803,8.15632487070152,4.04204331020729,6.52239789723055,0.548561374534948,0.258148371377915,9.55649218756934e-12,3.5045134462861e-10,2.86144853760722e-16,3.35460292802467e-14
"ASV8_Lactobacillus.crispatus.RS_GCF_002088015_1.",7.78216305804303,7.97005940665972,7.19127513253529,-0.453626050615372,4.59507514792569,-0.0860708234137444,0.454000000154642,0.0602211104754011,0.117158706247478,0.0538642395153225,0.101407041939661
"ASV9_Alistipes.shahii.RS_GCF_000210575_1.",10.2495298812355,10.0445936466402,10.6511979642837,0.508379109954586,2.9401534182932,0.137570483267344,0.432713457536872,0.00246531974254053,0.00802770478090636,0.0151468595345249,0.0352143559656626
"ASV10_Lawsonibacter.sp002160305.RS_GCF_002160305_1.",9.83903822078353,9.91258606548348,9.72387158562812,-0.247776667351649,1.12003255791752,-0.187478810683183,0.404119176496439,0.048822201120746,0.0954161313731278,0.00220376254552384,0.00694804317029389
"ASV12_Prevotella.rara.RS_GCF_001275135_1.",0.74858570544088,0.197566696531692,1.89955517635477,1.76369553563006,8.63441409556367,0.196945365938733,0.41200000030271,0.0141706283764614,0.0334704471352905,0.00831820870926787,0.0200040509378964
"ASV14_Genus_Escherichia",6.20330041473726,5.81374581333609,7.04938235425815,1.17615790618092,4.68863627163089,0.207864441386264,0.393721256119728,0.100466490307091,0.170777929149366,0.000579285641856343,0.00227336646961525
"ASV16_Cloacibacillus.porcorum.RS_GCF_001701045_1.",2.66268979244982,1.77929960438403,5.14206111862021,3.20201297122342,8.5867008285719,0.352736688888462,0.351000000545072,3.55246460325544e-06,2.57524314697805e-05,6.93828383304664e-07,5.63731351850712e-06
"ASV17_Family_Oscillospiraceae",8.73319639902104,8.89499571774287,8.20884664543281,-0.648799973937792,2.13583284698804,-0.269231942040677,0.371725655326549,0.000152224708256422,0.000757821245744219,2.59005870756194e-05,0.000146530615776366
"ASV18_UBA9475.sp002161235.RS_GCF_002161235_1.",7.98821060652562,7.96022897333673,8.06795976768258,0.227694109390724,3.63115120214523,0.0500976918859043,0.47250549899211,0.647262841710367,0.729596461184133,0.437060867310647,0.536220622714954
"ASV19_Family_Gastranaerophilaceae",8.65788172854682,8.70094618284564,8.53439925924125,-0.145667423355582,4.15349033815942,-0.0272881618918601,0.482000000060077,0.319802596588637,0.430460911933465,0.493601052309757,0.588343642041833
"ASV20_Akkermansia.muciniphila.RS_GCF_000020225_1.",2.67034343745319,2.03778859891192,4.18652821068028,1.82091712266176,7.86404422887399,0.206346289874288,0.411400000304908,0.0058054051873628,0.0157328379748932,0.00434770144034186,0.0120548878626393
"ASV23_Bacteroides.uniformis.RS_GCF_000154205_1.",9.55079026844996,9.07500456600208,10.3846196635468,1.22560080846046,2.82622367931643,0.354776325503356,0.320400000687352,1.75554151932597e-06,1.11823282258336e-05,6.75232736434869e-10,1.25592144023007e-08
"ASV25_Family_Lachnospiraceae",10.9582043325926,11.0681311670281,10.7715945118553,-0.391920506338955,1.23248985507482,-0.290333372203673,0.362800000494572,3.3471488306622e-07,3.9049829257843e-06,8.84854016189902e-06,5.66777512052502e-05
"ASV29_Enterocloster.sp001517625.RS_GCF_001517625_2.",8.42334570062536,8.6022662183283,8.08901086624273,-0.442437527377741,1.64589408456691,-0.243766606415845,0.381523695679194,0.000158202884528959,0.000788765476554687,5.71577925389773e-05,0.000287700564700969
"ASV35_UBA7182.sp002160135.RS_GCF_002160135_1.",7.41397278891691,7.59222092310229,7.10782775280697,-0.359071153757144,2.48392421244534,-0.123063749737436,0.4433113379238,0.0687709531256032,0.130758960066905,0.050985560820453,0.096752566702272
"ASV36_RUG350.sp900315995.GB_GCA_900315995_1.",5.30474115601746,5.66775458127274,4.21669717239059,-1.60285385592292,6.64575800369751,-0.218658733839778,0.393600000371489,0.000826056770829691,0.00313066482237499,0.000398845734735049,0.00162197952696611
