"","rab.all","rab.win.PA2","rab.win.PA3","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"ASV1_Phascolarctobacterium_A.sp900545025.GB_GCA_900545025_1.",10.2140130723322,10.7318467484846,9.39969716814007,-0.827792191305126,5.59169654349216,-0.117091196165548,0.434800000221093,0.511780241901722,0.630082787707566,0.0743884905394688,0.13559779924386
"ASV2_Helicobacter_D.pullorum.RS_GCF_008801855_1.",8.86094942138305,9.68683770740685,7.95277209699629,-1.57177857353822,4.07355185051924,-0.298442069753124,0.362127574982298,0.180730306088755,0.283612722395571,0.00129850931729625,0.0041300758031933
"ASV3_Faecalibacterium.sp002160895.RS_GCF_002160895_1.",10.4209921269724,10.731283014754,9.76182380849964,-0.840884766083882,2.68073776097121,-0.205396633160901,0.360600000503829,0.698370521397363,0.784685067367605,0.00154999738420737,0.00479428946271079
"ASV4_Phocaeicola.dorei.RS_GCF_013009555_1.",11.5070614479072,10.9613256534253,12.2662063968033,1.3488637527832,1.88106544205196,0.653435924464182,0.223200001330397,4.49577960370277e-14,7.67873542067404e-13,1.35237346525877e-10,1.32428065411677e-09
"ASV5_Mediterraneibacter.sp002159505.RS_GCF_002159505_1.",10.3214146526762,10.5463769332581,9.86248565944705,-0.673829775437538,1.55082489963595,-0.411338337309491,0.3139372132771,8.45376392126127e-06,4.43017173115021e-05,1.82213713880489e-05,7.91878576340844e-05
"ASV6_Kingdom_Bacteria",10.737436813507,10.8035246966561,10.5803713578311,-0.116761291741212,1.69490890952988,-0.0612497983765239,0.46910617886758,0.901821822919958,0.934842473119599,0.472449215304225,0.584224056232793
"ASV7_Genus_Campylobacter_D",7.51852121006182,8.19153314238728,6.68507155655144,-0.503137744010099,5.72894823286859,-0.0766753750172074,0.462907418640573,0.863403341996189,0.907383647951663,0.34545718288684,0.461362437582107
"ASV8_Lactobacillus.crispatus.RS_GCF_002088015_1.",7.77763335367819,7.22443236267703,8.74238803484523,1.20472130421444,4.08428113738459,0.26472834285458,0.362000000497931,3.97763819359001e-05,0.000185298761943116,0.00141188295016564,0.00442883547379898
"ASV9_Alistipes.shahii.RS_GCF_000210575_1.",9.94471445064379,10.6913942866061,8.42381744025855,-2.10750250800167,2.11711218905941,-0.920804221849151,0.155568888406795,6.46084292814669e-12,6.26051625077914e-11,1.64492243741653e-15,3.45459401405862e-14
"ASV10_Lawsonibacter.sp002160305.RS_GCF_002160305_1.",9.40198469507676,9.76195523427461,8.66772837790596,-1.02981463613407,1.03300269445526,-0.930389952896091,0.153400002224045,1.46028527821639e-17,3.59963940054226e-16,1.39040898889786e-15,2.93772602340684e-14
"ASV12_Prevotella.rara.RS_GCF_001275135_1.",5.58146462602486,1.94532381066443,9.13382040275996,6.31758349186295,6.46734942503676,0.847017202770062,0.188562289238024,2.09370298987847e-14,3.0219793349235e-13,3.68677004317728e-13,5.36633653270593e-12
"ASV14_Genus_Escherichia",6.62379004020064,7.08945906001778,5.51977568547141,-1.36571432787856,4.6739596826111,-0.242008254693215,0.375000000444445,0.0432174554739707,0.0889257948731946,0.00254733900008418,0.0073883428619948
"ASV16_Cloacibacillus.porcorum.RS_GCF_001701045_1.",7.93188670805126,5.18956912411124,8.70532929212693,3.28230706337718,5.43717847348619,0.502593358268658,0.323000000674529,2.38662816833718e-13,3.73872391381953e-12,1.53164276461477e-05,6.77268612790789e-05
"ASV17_Family_Oscillospiraceae",7.92914583820491,8.24487922120558,6.79693947537482,-1.54013497643723,2.55468559963331,-0.536413836870874,0.263200001017572,2.20245303678755e-06,1.11721248995101e-05,3.55274583256115e-08,2.34590199984943e-07
"ASV18_UBA9475.sp002161235.RS_GCF_002161235_1.",7.57439926123771,8.10589360967366,6.32014503545981,-1.78191868176935,4.14903272717163,-0.356898338859185,0.315336933325958,0.00178809538898527,0.00576578508905198,3.11178360873133e-05,0.000129641957136428
"ASV19_Family_Gastranaerophilaceae",7.94782525420738,8.56798931803733,6.69804301906874,-1.7473579594282,4.17423358366012,-0.348190869522762,0.315600000711431,0.00192213806295396,0.00603389172099208,1.26377838777631e-05,5.70351420281357e-05
"ASV20_Akkermansia.muciniphila.RS_GCF_000020225_1.",3.79163238015098,4.21322698428183,3.21163344768019,-0.774366721552335,8.42300082618152,-0.0846694975013351,0.455600000149176,0.499823073497663,0.612000660199039,0.29928761199528,0.410468093702881
"ASV23_Bacteroides.uniformis.RS_GCF_000154205_1.",10.6278724997521,10.4217969343648,11.0548719313826,0.496225595762245,2.21615288522054,0.190947771933285,0.404600000330014,0.0298082819066754,0.0675119615353516,0.0332093208381071,0.0693964503507954
"ASV25_Family_Lachnospiraceae",10.3446292581145,10.8097392020899,9.29447453526017,-1.45849385357822,1.14421750495584,-1.19693607661226,0.0879824077965171,3.31640859530466e-23,1.26450052470568e-21,4.96360721066116e-21,1.88962658943077e-19
"ASV29_Enterocloster.sp001517625.RS_GCF_001517625_2.",7.65837324609367,8.12694253193564,4.33763018344272,-3.81228900264216,2.22962583978306,-1.62251816725965,0.0401919715364977,6.05170106598584e-16,1.02367822993631e-14,1.19166229308585e-26,8.58672273066112e-25
"ASV35_UBA7182.sp002160135.RS_GCF_002160135_1.",6.62991455960473,7.14159277598455,5.26987638249333,-1.92035144383753,2.43985588446163,-0.692654407907372,0.195800001609908,9.04289120845512e-08,5.45706697667451e-07,9.93490874110446e-13,1.36069693460749e-11
"ASV36_RUG350.sp900315995.GB_GCA_900315995_1.",4.14173533041501,4.2668299169775,3.95804461655846,-0.0184338703218088,6.89495350059833,-0.00224542487212949,0.498200000006,0.757213212904282,0.8269789997279,0.845344603766415,0.890607278116819
"ASV40_Order_Christensenellales",8.74977215331393,9.08164153014827,7.31044855110209,-1.67412771955961,2.15950286928848,-0.737174732252164,0.209158169830989,5.53571725706314e-09,4.0120799053901e-08,2.51387481692135e-11,2.79397076205287e-10
"ASV43_Merdimonas.faecis.RS_GCF_001754075_1.",6.64569581287582,6.76047346546059,6.32477731334849,-0.449612569667157,1.94461835932834,-0.182874316330653,0.405918816561738,0.23998108474899,0.350151619394902,0.0203140919622741,0.0455409273397801
"ASV45_Anaerosacchariphilus.sp002160825.RS_GCF_002160825_1.",7.54470913540575,7.74036709198159,7.17185121479952,-0.682280928466273,1.67740016883005,-0.345738663966656,0.333333333958083,0.000318524097663788,0.00110853769006102,5.00152232428489e-05,0.000200220515853703
"ASV46_Order_Bacteroidales",5.43404788816674,5.1443497514596,5.91665543120915,1.19147342285025,3.92724531134238,0.252233445006145,0.364127175053913,0.00253627686494112,0.0071663385013454,0.00211377783618664,0.00626586485154305
"ASV50_Acutalibacter.timonensis.RS_GCF_900048895_1.",6.83064766467205,7.48527882404765,5.71697366119936,-1.88303404446586,1.99865576307657,-0.851335422316782,0.158968208483524,2.26335445252827e-08,1.49487645073455e-07,1.32565786103229e-15,2.82767588672454e-14
"ASV51_UBA5446.sp900752445.GB_GCA_900752445_1.",7.09109846060605,7.39535699496392,6.12374858859873,-1.00204943801394,2.23299638788708,-0.34620814756222,0.315800000710416,0.0741010205458961,0.13432348350204,4.34090231264527e-05,0.000175893703011143
"ASV53_Barnesiella.sp003150885.RS_GCF_902363425_1.",4.52658147487113,4.39590434172514,4.66271935777077,-0.769357604607358,7.4140067485172,-0.0931924488546511,0.453600000156011,0.319846400136037,0.43602914916773,0.293204492080105,0.404407989107369
"ASV58_CAG.521.sp000437635.GB_GCA_000437635_1.",6.78594440379342,7.22297803608003,6.60048870207453,0.378999744683823,4.74350752616804,0.0672936288959115,0.478904219226586,4.89211880429828e-06,2.67428613482027e-05,0.704292129234833,0.786076245085876
"ASV59_Genus_Blautia_A",5.88191535807927,6.47356921473714,4.96398468791308,-1.40792612296376,3.1737593304385,-0.333013658078929,0.318736253444809,0.0221684497147331,0.0498330514883785,1.914387621083e-05,8.28941331342031e-05
"ASV67_Coprobacter.fastidiosus.RS_GCF_000473955_1.",7.07004753252523,7.77216327201274,5.67252725207078,-2.14032003808842,4.58694491354466,-0.399689236834505,0.282600000893603,2.53655167152065e-05,0.000119990546543117,4.87117116821898e-07,2.67094727183541e-06
"ASV76_Phylum_Firmicutes_A",5.34993878426377,6.11325149350884,4.04950403641509,-2.16045221267584,4.81323941131948,-0.388569162706757,0.308938213102999,0.000437039141161931,0.00158555538752856,7.64083870048728e-06,3.58137622390632e-05
"ASV79_Paraprevotella.sp900760455.GB_GCA_900760455_1.",2.26880767825262,2.03507383404853,3.11092742763608,0.581386205475678,7.46741271592626,0.0761244511306105,0.465400000115888,0.408314713618434,0.519112056781691,0.308229925113542,0.417944981674078
"ASV80_Family_UBA1067",-2.1925684153356,-2.4330375160106,-1.54214945934965,1.24193839180764,5.94083623326175,0.178486105674258,0.395400000364624,0.0113163651586542,0.0252646057732075,0.0534669286687815,0.0882297968285302
"ASV83_Family_Ruminococcaceae",8.31261744737385,8.82284973391239,7.05112395809217,-1.73423839669992,1.58578875559879,-0.985175078924034,0.140000002491694,3.95567006034171e-09,2.70748979852416e-08,4.4697977110964e-17,1.2261580268638e-15
"ASV85_Parabacteroides.johnsonii.RS_GCF_000156495_1.",7.80418448412605,7.84037215482568,7.77913684412813,-0.0206594066097203,3.44994437228404,-0.00473468124417369,0.496900619886352,0.135069430527149,0.221922602711171,0.914249440981428,0.941238460931438
"ASV86_Ligilactobacillus.araffinosus.GB_GCA_001435375_1.",5.23968176998426,6.30511892225451,3.7026701952592,-2.77326151039304,4.36804085023137,-0.543393875253085,0.229600001273906,3.2687532035934e-07,2.05967208616667e-06,5.52172802508837e-10,4.87418128720125e-09
"ASV88_UMGS1872.sp014237695.GB_GCA_014237695_1.",4.4501333798818,4.27488418572519,4.77769991337403,0.807655706886293,5.31583128640031,0.138968640420792,0.431600000232349,0.0604483752903123,0.114675020415149,0.154017748871553,0.243887127619473
"ASV91_UMGS1004.sp900761685.RS_GCF_900761685_1.",7.1772445807911,7.8116630249241,5.57339515379894,-2.30242716197075,2.44216419962044,-0.797271673548251,0.151800002253603,5.87363549927955e-08,3.75700891657723e-07,8.73804047059286e-16,1.97575272313631e-14
"ASV93_Sutterella.wadsworthensis_A.RS_GCF_000297775_1.",1.97634303366367,0.104978494517521,5.66236514236639,5.41179372923223,5.07803867393595,0.886450165352967,0.194800001621476,1.05376763596751e-13,1.36279953594941e-12,7.20004689510215e-13,9.93673142910548e-12
"ASV95_Anaerotignum.lactatifermentans.RS_GCF_900142265_1.",7.96914638251571,8.54245761715244,6.62628195295096,-2.07166344330213,2.3571947887237,-0.824560014591052,0.169566088737368,3.7085036826961e-15,7.16172671487894e-14,6.19233389082371e-14,9.98696853922977e-13
"ASV96_Lachnoclostridium_B.sp002160985.RS_GCF_002160985_1.",5.96433736433911,6.58387440316806,4.36094532089906,-2.14588047944507,2.31816517495824,-0.729913503362401,0.163800002045466,4.00553500865475e-06,1.85526266769595e-05,8.87224003048168e-15,1.6279203226335e-13
"ASV98_CAG.196.sp002102975.RS_GCF_900552525_1.",5.12810180563594,5.56517381156668,4.46135624266304,-1.02593047761879,6.84063040205681,-0.141683433486017,0.426400000250767,0.194651121469453,0.29599816374033,0.087563300907806,0.153458228689992
"ASV102_CHKCI001.sp900045905.RS_GCF_900045905_1.",2.64283057698087,4.23867663135683,-0.55936032710307,-4.19525674377956,5.81931050844385,-0.634893638571134,0.239752050779446,6.23750803779658e-08,4.19658643578603e-07,4.14783872368064e-09,2.99117822710159e-08
"ASV103_Family_Muribaculaceae",4.82305924852231,4.99556242161399,4.72338805196665,-0.911944051109955,7.92034076308135,-0.107325164249868,0.442600000193889,0.517475349866721,0.625636655263387,0.299148612390246,0.410067150325584
"ASV104_CAG.475.sp002449145.GB_GCA_002449145_1.",6.79775435609369,6.97001725237633,6.56067511768941,0.0424076791525962,4.42017757156377,0.00777451139154918,0.495800000014001,0.296239317765706,0.410114287867508,0.945333060806673,0.962528958058822
"ASV105_NSJ.54.sp014385095.GB_GCA_014385095_1.",5.96156833545198,6.81757068147745,3.95497520579622,-2.77988689842363,3.26313196642563,-0.644291669033381,0.206000001497885,9.11735748856227e-06,4.19040611691044e-05,3.86350578072273e-12,4.89330295262019e-11
"ASV108_Anaerofilum.sp002160015.RS_GCF_002160015_1.",6.06803424363216,6.21994463573474,5.7208299676001,-0.489069676677832,4.32231452829699,-0.0897390365697559,0.4461107780261,0.778688658078293,0.843574736660209,0.203005869326044,0.304851170679882
"ASV109_Genus_Flavonifractor",8.54072289950536,8.81717507876897,7.79664487400247,-1.07084488391713,1.72682298015152,-0.554496281983006,0.253349331220124,4.66002865007131e-05,0.000185609512554309,1.16360823399488e-08,8.39358285361524e-08
"ASV110_Mailhella.sp900553065.GB_GCA_900553065_1.",6.96297745645958,5.4801913909842,8.12518524080174,2.67906191817191,3.96337835781433,0.568096876306842,0.256948611338364,2.35327571896314e-14,3.53744876672528e-13,3.8910374521996e-08,2.54181084704378e-07
"ASV112_Family_Megasphaeraceae",-0.300659725620932,-1.75936373416297,8.27433139158513,8.92525151689198,6.94492826078792,1.06019821148902,0.172200001916325,8.17631171999021e-14,1.08435417030342e-12,4.39183594849551e-14,6.86957232724295e-13
"ASV113_Fournierella.sp002161595.RS_GCF_002161595_1.",4.78752515294674,3.04502916652488,6.32434423193358,1.44990329244934,7.22012154645073,0.198905821826502,0.425000000255755,0.0145071452964417,0.03386829469969,0.0469799760232906,0.0921482406924736
"ASV118_Anaeromassilibacillus.sp002159845.RS_GCF_002159845_1.",4.76118045970246,5.72308755469747,2.12515117194028,-3.73861951357383,4.36245364648947,-0.819287182290837,0.134373127993349,8.72949916474814e-11,8.53048108911853e-10,3.7251756387955e-17,1.02349012808019e-15
"ASV120_Schaedlerella.sp004556565.GB_GCA_004556565_1.",1.61583281419543,2.8185084627049,-1.00931350395493,-3.49266578413064,6.00369038911463,-0.534208357756312,0.265600001001418,1.05616036448506e-06,5.50033160969415e-06,3.97881166634082e-07,2.03635597398642e-06
"ASV122_Enterococcus_E.cecorum.RS_GCF_000407565_1.",2.96920304318294,2.94754489964723,2.9963881833986,-0.510354699532148,6.65006913324047,-0.0674426248564856,0.465306938728434,0.612220667716531,0.706047087009001,0.621900678975979,0.713618722090488
"ASV127_Family_CAG.239",2.78971673619801,4.42182720361934,-0.0615288363529585,-3.37867509921358,7.26065781875015,-0.441969925040554,0.308800000746493,4.44147987939129e-05,0.00019171463382674,1.55393655467727e-05,6.61144827361839e-05
"ASV128_Family_Acutalibacteraceae",7.46869931754889,7.951299761602,6.03949295607222,-1.91986035587146,2.44546293385873,-0.646887060472129,0.199400001569159,3.01773295810451e-06,1.49879779111507e-05,6.80875593136863e-12,8.28759962040704e-11
"ASV129_W0P29.029.sp004558035.GB_GCA_004558035_1.",-0.363223755902167,-0.0868684345282569,-0.942074899550591,-0.639496200041696,6.94772689247537,-0.0842658532858966,0.4557088583771,0.265219047887764,0.364268071254065,0.347889889563294,0.443861668458243
"ASV132_Duodenibacillus.sp003472385.RS_GCF_003472385_1.",4.6197400304692,2.41696273298604,5.68330502298886,3.29221715985609,5.19488436252546,0.539976725395069,0.308800000746493,2.45021781769094e-11,2.98471729683112e-10,8.37090883817343e-06,3.9047705142765e-05
"ASV133_Agathobaculum.sp900291975.RS_GCF_900291975_1.",7.65732179116729,8.0701014717123,6.48027409772899,-1.39378568158096,2.63229203352057,-0.461857622607017,0.288400000859218,0.000547177674848613,0.00182520351090687,2.02190461902834e-06,1.03009819259356e-05
"ASV134_Genus_Oscillibacter",6.76136812256837,7.19605583774728,6.26641460502648,-0.811185896308653,1.80263608783248,-0.350362148948233,0.325134973669245,0.0282394530553485,0.0601238651816437,3.69222637435389e-05,0.000151259447122626
"ASV135_CAG.831.sp902388455.GB_GCA_902388455_1.",4.25657421198669,1.5709486610536,9.88184270188238,8.09035491359737,4.15598915566562,1.92943360073276,0.00540007673750237,2.84347812210087e-48,3.62323238642285e-46,9.24480997773631e-31,3.46604792674997e-28
"ASV137_UBA1067.sp002449695.GB_GCA_002449695_1.",-0.870757106537644,-1.07537365422648,-0.310483666408614,1.24123955139262,6.7448381059688,0.169904771507765,0.421715657136025,0.0672940079948716,0.117939522469283,0.122466190940936,0.188092641597251
"ASV142_Dialister.sp900765565.GB_GCA_900765565_1.",6.14025748971651,7.19666492276386,-0.0661779820815536,-7.09651004917844,4.1017879316318,-1.6228973986092,0.06440000602463,1.14226498182119e-21,3.74755598838653e-20,9.12338078808697e-24,4.20650148032918e-22
"ASV143_Genus_Ruminococcus_E",4.18795413583018,4.16290429088881,4.24128927261204,0.501764431534561,5.39743587486736,0.081097354725477,0.456000000147811,0.137618665035898,0.221885353992118,0.330953095611495,0.444977545400418
"ASV150_Dysosmobacter.sp001916835.RS_GCF_014297285_1.",5.58621696206444,5.85528190228476,5.19678198021191,-0.67499440431814,2.69449709321045,-0.169112087925003,0.389800000386088,0.773687959323578,0.84033718275327,0.0114680197529324,0.0279353475560887
"ASV155_CAG.180.sp900315985.GB_GCA_900315985_1.",3.84637789629434,4.40823528619696,2.66569004539558,-1.54390147290632,6.19942973094574,-0.230824483337656,0.390400000383773,0.0236323491515352,0.0524883506563609,0.00632883680120114,0.0163723431128097
"ASV156_Prevotellamassilia.sp004558535.GB_GCA_004558535_1.",4.61866106524057,4.80089112190575,4.28470790686556,-0.657412263001467,4.76550834961539,-0.12150169043537,0.428400000243663,0.427795391001625,0.541421443906964,0.0976478627083964,0.168046377980311
